                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 1.2576,                0.75812,                 1.2078,                0.95126,                0.95967,                0.98536,                0.62503,                 1.2014,                0.67837,                 1.2061,              0.0087427,              0.0087427,              0.0087427
                    129,                  1.237,                0.75539,                 1.2202,                0.95482,                0.97289,                0.98713,                0.61897,                 1.2515,                0.68064,                 1.2582,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.2766,                0.78441,                 1.2579,                0.95146,                 0.9509,                0.97987,                 0.6126,                 1.2694,                  0.675,                 1.2614,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.2588,                0.75944,                  1.222,                0.94685,                0.97112,                0.98368,                  0.623,                 1.2296,                0.67502,                 1.2423,               0.008713,               0.008713,               0.008713
                    132,                  1.266,                0.78211,                 1.2457,                0.94503,                0.96907,                0.98228,                0.62878,                 1.2213,                0.67463,                 1.2296,              0.0087031,              0.0087031,              0.0087031
                    133,                 1.2554,                0.77505,                 1.2322,                0.95739,                0.97334,                0.98778,                0.62892,                 1.2302,                0.66417,                 1.2432,              0.0086932,              0.0086932,              0.0086932
                    134,                 1.2381,                0.75333,                  1.209,                0.95026,                0.98124,                  0.986,                 0.6159,                 1.2286,                0.69114,                 1.2212,              0.0086833,              0.0086833,              0.0086833
                    135,                 1.2512,                0.74539,                 1.2157,                0.96976,                0.96969,                0.98427,                0.61099,                 1.2639,                 0.6737,                 1.2437,              0.0086734,              0.0086734,              0.0086734
                    136,                 1.2549,                0.76057,                 1.2235,                0.95152,                0.96583,                0.98187,                 0.6267,                 1.2144,                 0.6746,                  1.245,              0.0086635,              0.0086635,              0.0086635
                    137,                 1.2474,                0.74974,                 1.2174,                 0.9411,                 0.9458,                0.97737,                  0.623,                 1.2507,                0.67132,                 1.2617,              0.0086536,              0.0086536,              0.0086536
                    138,                 1.2449,                0.77016,                 1.2205,                0.93475,                0.96131,                0.97506,                0.62486,                 1.2196,                0.68727,                 1.2282,              0.0086437,              0.0086437,              0.0086437
                    139,                 1.2277,                0.74884,                  1.215,                0.92371,                0.90936,                0.96286,                0.61174,                 1.2194,                0.73921,                 1.2245,              0.0086338,              0.0086338,              0.0086338
                    140,                 1.2031,                0.75509,                 1.2028,                0.95912,                0.94697,                0.98106,                0.62263,                 1.2319,                0.68336,                 1.2253,              0.0086239,              0.0086239,              0.0086239
                    141,                 1.2149,                0.76151,                 1.2301,                0.94937,                0.96408,                0.97314,                 0.6124,                 1.2294,                0.68342,                 1.2492,               0.008614,               0.008614,               0.008614
                    142,                  1.224,                0.76828,                 1.2088,                0.96412,                0.92147,                0.97165,                0.61783,                 1.2275,                0.72067,                 1.2285,              0.0086041,              0.0086041,              0.0086041
                    143,                 1.2204,                0.75085,                 1.2313,                0.93611,                0.97714,                0.97912,                0.62682,                 1.2021,                0.67362,                 1.2022,              0.0085942,              0.0085942,              0.0085942
                    144,                 1.2386,                0.74461,                 1.2289,                0.96188,                0.96975,                0.98614,                0.64173,                 1.1871,                0.64704,                 1.1938,              0.0085843,              0.0085843,              0.0085843
                    145,                 1.2338,                0.75042,                 1.2193,                0.96064,                0.96651,                0.98498,                0.64172,                 1.1927,                0.65315,                 1.1959,              0.0085744,              0.0085744,              0.0085744
                    146,                 1.2202,                0.74952,                 1.2013,                0.94471,                0.97367,                0.97614,                0.62325,                 1.2174,                0.67805,                 1.2039,              0.0085645,              0.0085645,              0.0085645
                    147,                  1.216,                0.75504,                 1.2278,                 0.9627,                 0.9767,                0.98175,                0.63414,                 1.2111,                0.66038,                 1.2106,              0.0085546,              0.0085546,              0.0085546
                    148,                 1.2145,                0.73924,                 1.2172,                0.93811,                0.94212,                0.97598,                0.61261,                 1.2545,                0.71848,                 1.2361,              0.0085447,              0.0085447,              0.0085447
                    149,                 1.1954,                0.74434,                 1.1983,                0.94716,                0.97954,                0.97859,                0.63052,                 1.2121,                0.64648,                 1.2289,              0.0085348,              0.0085348,              0.0085348
                    150,                 1.2101,                0.75352,                 1.2061,                0.95926,                0.97326,                0.98854,                0.62828,                 1.2161,                0.64658,                   1.22,              0.0085249,              0.0085249,              0.0085249
                    151,                 1.2272,                0.73516,                  1.208,                0.95016,                0.97386,                 0.9838,                0.63062,                 1.2159,                0.66599,                 1.2261,               0.008515,               0.008515,               0.008515
